Firearm_Name,Firearm_Type
Beretta 92F,Handgun
Colt Gold Cup National Match (custom),Handgun
Colt MK IV Series 70,Handgun
CornerShot with Modified Glock,Handgun
Desert Eagle Mark XIX,Handgun
FEG P9R,Handgun
Flintlock Pistol,Handgun
Glock 17,Handgun
Glock 19,Handgun
Glock 22,Handgun
Glock 23,Handgun
Glock 35,Handgun
Heckler & Koch USP Tactical,Handgun
Modified Glock,Handgun
SIG-Sauer P226,Handgun
SIG-Sauer P226 Combat TB,Handgun
SIG-Sauer P228,Handgun
SIG-Sauer P239,Handgun
Smith & Wesson SW99,Handgun
Springfield Armory Loaded 1911,Handgun
Walther P22,Handgun
Unknown 1911,Handgun
Smith & Wesson 39,Handgun
Colt 1851 Navy,Revolver
Colt 1860 Army,Revolver
Colt Anaconda,Revolver
Colt King Cobra,Revolver
Colt Police Positive,Revolver
Colt Single Action Army,Revolver
Smith & Wesson Model 19,Revolver
Smith & Wesson Model 29,Revolver
Smith & Wesson Model 460,Revolver
Smith & Wesson Model 629,Revolver
Heckler & Koch MP5A3,Sub-Machine Gun
Heckler & Koch MP5A4,Sub-Machine Gun
Heckler & Koch UMP,Sub-Machine Gun
M1A1 Thompson,Sub-Machine Gun
M1928 Thompson,Sub-Machine Gun
MAC-10,Sub-Machine Gun
Uzi,Sub-Machine Gun
10 Gauge Double Barreled Shotgun,Shotgun
12 Gauge Double Barreled Shotgun,Shotgun
Benelli M1,Shotgun
Benelli M4,Shotgun
Mossberg 500 Cruiser,Shotgun
Remington Model 870,Shotgun
Remington Model 870 Field Gun,Shotgun
Remington Model 1100 Tactical,Shotgun
Unknown Single shot shotgun,Shotgun
Dillon Aero M134 Minigun,Machine Gun
FN Minimi Para,Machine Gun
Norinco Type 56,Assault Rifle
AKM,Assault Rifle
Colt AR-15 Match Target Competition HBAR,Assault Rifle
Colt AR-15 Match Target Competition HBAR II,Assault Rifle
Colt Model 723,Assault Rifle
M4A1 Carbine,Assault Rifle
M16A2,Assault Rifle
Carcano Carbine,Rifle
Enfield Pattern 1853,Rifle
Springfield Armory M1A SOCOM 16,Rifle
M1 Carbine,Rifle
M1 Garand,Rifle
M14,Rifle
M1903 Springfield,Rifle
Mosin Nagant M91/30,Rifle
Remington 700,Rifle
Savage 111,Rifle
SKS Rifle,Rifle
Unknown .22 rifles,Rifle
Unknown .50 muzzle loader,Rifle
Unknown Musket,Rifle
Unknown Musket #2,Rifle
Unknown Winchester Rifle,Rifle
Winchester Model 1886,Rifle
Armalite AR-50,Sniper Rifle
Barrett M98B,Sniper Rifle
Barrett M99,Sniper Rifle
Barrett M107,Sniper Rifle
Desert Tactical Arms SRS,Sniper Rifle
Maadi Griffin,Sniper Rifle
SVD Dragunov,Sniper Rifle
Sako TRG,Sniper Rifle
Advanced M26 Taser,Other
Harpoon Gun,Other
Mk 2 Hand Grenade,Other
M2 Flamethrower,Other
M67 Hand Grenade,Other
RAP4 T16 Paintball Marker,Other
RPG-7,Other
